.,Italian
EventIntroMission02.text,Posiziona la tessera come indicato.
EventIntroMission02.button1,Continua
EventInspeccionarNota01.text,L'immagine di una bella donna circondata da gatti. Con strani simboli incisi sotto.
EventInspeccionarNota01.button1,{action} Esamina
EventMythosSoft08C.text,C'è un'aria di tensione che ti fa sentire a disagio. Nessun effetto immediato.
EventMythosSoft08C.button1,Continua
EventEntrarInvernadero.text,"Una porta bianca macchiata di fango.\n \nSe la tessera Cortile è attiva, puoi attraversare la porta senza spendere un'azione ({action})."
EventEntrarInvernadero.button1,Continua
EventDesarrolloPasillo1A.text,"In fondo al corridoio, diversi fogli giacciono sparsi su un tavolo. Alcuni sono caduti sul pavimento.\n\nPosiziona un segnalino Ricerca come indicato."
EventDesarrolloPasillo1A.button1,Continua
EventResolucionPuzzleBast.text,"\nCon molta attenzione metti a posto ogni pezzo di pergamena e finalmente puoi vedere il quadro completo: una bellissima donna circondata da gatti. Con strani simboli incisi sotto.\n\nOttieni l'Oggetto Unico {c:QItemPruebaFoto}.\n  \nScarta questo segnalino Ricerca.\n\nL'investicatore che possiede <b> {c:QItemPruebaFoto} </b> può ispezionarla dal menù dell'app.\n"
EventResolucionPuzzleBast.button1,Continua
EventFailFake4.text,Tiri la catena, ma non riesci a portarla alla luce.
EventFailFake4.button1,Continua
EventFailBuscarCajas.text,Passi molto tempo a cercare fra libri, ma non trovi nulla di interessante.
EventFailBuscarCajas.button1,Continua
EventFailPuertaCampanario.text,Corri in avanti, la tua spalla va a sbattere contro la porta, ma questa non si muove.
EventFailPuertaCampanario.button1,Continua
EventFailTablaSuelta.text,La tavola di legno scricchiola, ma non riesci a strapparla via.
EventFailTablaSuelta.button1,Continua
EventMostrarRESET.text,"Sembra che tu sia in una piccola stanza poco illuminata. La luce sul comodino illumina un bellissimo vaso in porcellana pieno di papaveri rossi. Proietta luce quanto basta per farti vedere che le pareti sono piene di ritratti, i cui occhi sembrano seguire ogni tuo movimento.\n\n Posiziona la tessera {c:TileTileNegativeEntry} e un muro come indicato. Ogni Investigatore inizia con 1 {clue}."
EventMostrarRESET.button1,Continua
EventFinalCountdown1.text,"<b> {rnd:hero} </b> vede apparire davanti a lui la figura traslucida di un bambino. Inclina la testa e con una vocina acuta dice: <i>\n- 1.- </i>\n<b> {rnd:hero} </b> subisce 1 orrore ({will} -2 nega)."
EventFinalCountdown1.button1,Continua
EventFinalCountdown2Pesadilla.text,"<b> {rnd:hero} </b> vede apparire davanti a lui la figura traslucida di un bambino. Inclina la testa e con una vocina acuta dice: <i>\n- 2.- </i>\n\n<b> {rnd:hero} </b> subisce 1 orrore ({will} -2 nega)."
EventFinalCountdown2Pesadilla.button1,Continua
EventFinalCountdown3Pesadilla.text,"<b> {rnd:hero} </b> vede apparire davanti a lui la figura traslucida di un bambino. Inclina la testa e con una vocina acuta dice: <i>\n- 3.- </i>\n\n<b> {rnd:hero} </b> subisce 1 orrore ({will} -2 nega)."
EventFinalCountdown3Pesadilla.button1,Continua
EventFinalCountdown4Pesadilla.text,"<b> {rnd:hero} </b> vede apparire davanti a lui la figura traslucida di un bambino. Inclina la testa e con una vocina acuta dice: <i>\n- 4.- </i>\n\n<b> {rnd:hero} </b> subisce 1 orrore ({will} -2 nega)."
EventFinalCountdown4Pesadilla.button1,Continua
EventPrefinal3B.text,"\n<i> - Oh ... Te ne vai adesso? L'uscita è lì. Segui il gattino. -\n\n</i> Beve un lungo sorso dal bicchiere e sospira. Con un sorriso beffardo parla, come se esprimesse ad alta voce i suoi pensieri.\n<i>\n  -Beh, sembra che abbiamo nuovi uccelli nel negozio ...-\n  </i>\nEntra in casa.\nRimuovi tutti gli investigatori che non si trovano in uno spazio esterno del {c:TileInvernadero}. Sono stati eliminati.\n\n Rimuovi il segnalino Persona e posizionare un segnalino Interazione come indicato."
EventPrefinal3B.button1,Continua
EventPrefinal1.text,"<i> - Bene, è ora di aprire gli occhi. - </i>\n\nLa donna inizia a camminare verso la foresta. <i>\n\n-Seguimi.- </i>\n\nRimuovi il segnalino persona e posizionare un segnalino interazione come indicato."
EventPrefinal1.button1,Continua
Event2nFailObjBast.text,"L'animale sta sulle zampe posteriori, senza distogliere lo sguardo da te. Il suo sguardo freddo è scuro e distante <i>\n- Potresti fare di meglio la prossima volta. - </i>\n\nCon ogni parola che pronuncia la sua dimensione aumenta. I peli lasciano il posto alla pelle e le sue unghie si trasformano in mani e piedi. Davanti a te, è la figura snella di una giovane donna con occhi felini e orecchie da gatto che sporgono dai suoi capelli scuri. Si volta e ti guarda mentre si allontana, scomparendo nell'oscurità.\n\n  Rimuovi il segnalino gatto e posiziona un segnalino interazione come indicato."
Event2nFailObjBast.button1,Continua
TokenSalidaFINAL2.text,La strana creatura è entrata nella foresta.
TokenSalidaFINAL2.button1,{action} Segui
EventResEntregarObj4.text,"Gli mostri la scatola del puzzle. Il gatto sospira, prima di chiederti di aprirla. Dentro ci sono solo ceneri.\n\n<i> - troppo piccolo per entrare. Questo non è quello che sto cercando. Ho poca pazienza. - </i>\n\nSi risiede.\n\nSubisci 1 orrore ({will} -1 nega). Ottieni 1 {clue}, poi posiziona il segnalino Gatto come indicato."
EventResEntregarObj4.button1,Continua
TokenPuertaHAB11.text,La porta è chiusa, tuttavia puoi sbirciare dal buco della serratura d'argento sotto la maniglia.
TokenPuertaHAB11.button1,{action} Esamina
TokenPuertaHAB12.text,La porta è chiusa, tuttavia puoi sbirciare dal buco della serratura d'argento sotto la maniglia.
TokenPuertaHAB12.button1,Continua
TokenDebajoCama.text,Prima pensavi di aver visto un lampo di luce da sotto il letto.
TokenDebajoCama.button1,{action} Cerca
TokenDebajoAlfombra.text,Il tappeto vibrante risalta in netto contrasto con il resto della stanza grigia e polverosa.
TokenDebajoAlfombra.button1,{action} Cerca
TokenPuertaHAB13.text,"Il metallo della chiave si abbina perfettamente alla porta e il tuo umore si alza alla prospettiva di uscire da questa stanza ammuffita.\n\nL'Investigatore che possiede la <b> Chiave d'Argento </b> può aprire questa porta."
TokenPuertaHAB13.button1,{action} Apri
TokenMesitaEsquinaPasillo.text,Ispezioni i cassetti ma non trovi nulla di interessante, anche se uno dei cassetti è sigillato con una serratura a combinazione. Con un po 'di abilità e pazienza, pensi di poterlo aprire.
TokenMesitaEsquinaPasillo.button1,{action} Tenta di aprire
TokenVistazo2.text,Un Investigatore sullo spazio della tessera <b> Disimpegno ad angolo </b> {MAD20} può interagire con questo segnalino.
TokenVistazo2.button1,Guarda
TokenPuertaESC11.text,La porta decorata non ha la maniglia.
TokenPuertaESC11.button1,{action} Esamina
TokenFantasmaVerde1.text,<i> - A cosa vuoi giocare oggi? - </i>
TokenFantasmaVerde1.button1,Non fare nulla
TokenFantasmaVerde1.button2,{action} Dove sei?
TokenFantasmaVerde1.button3,{action} Gioca
TokenPuertaVerdeOFF.text,Un sottilissimo raggio di luce verde arriva da sotto la porta, ma ti accorgi che non ha maniglia o serratura per poterla aprire.
TokenPuertaVerdeOFF.button1,Continua
TokenPuertaSOTANO11.text,La porta di legno è usurata e parti della vernice hanno iniziato a staccarsi.
TokenPuertaSOTANO11.button1,{action} Esamina
TokenPuertaCOCINA11.text,"Mentre ti avvicini alla porta, un forte odore di torte appena sfornate ti ricorda che non hai mangiato da diverse ore. C'è luce proveniente da sotto la porta, ma la porta stessa sembra essere chiusa a chiave. Sotto la maniglia puoi vedere un piccolo foro per la chiave in ottone\n\n  Solo l'investigatore che possiede <b>{c:QItemLlave2}</b> può aprire questa porta."
TokenPuertaCOCINA11.button1,{action} Apri
TokenFantasmaVerde12.text,<i> - 1,2,3,4 ... Non pensi di dover già sapere perché sei qui? </i>
TokenFantasmaVerde12.button1,Ignora
TokenFantasmaVerde12.button2,"{action} Ascolta\nWho are you?\nWho you are?"
TokenPuertaFAKE1.text,La porta di legno bianca è vecchia e usurata.
TokenPuertaFAKE1.button1,{action} Apri
TokenPuertaAmarilloOFF.text,La porta di legno è usurata e parti della vernice hanno iniziato a staccarsi. Una debole luce gialla brilla attraverso le fessure del legno.
TokenPuertaAmarilloOFF.button1,Continua
TokenPuertaFAKE2.text,C'è una luce bianca provenire da sotto la porta.
TokenPuertaFAKE2.button1,{action} Apri
TokenMuebleBar.text,Un lussuoso mobile bar è pieno di bottiglie. Le etichette sembrano essere scritte in diverse lingue.
TokenMuebleBar.button1,{action} Cerca
TokenNevera.text,La porta del frigorifero è socchiusa e davanti si è formata una piccola pozza d'acqua sporca.
TokenNevera.button1,{action} Cerca
TokenArmarioCocina.text,Sopra il lavandino ci sono diversi armadietti di vetro rotto.
TokenArmarioCocina.button1,{action} Cerca
TokenPuertaDESPACHO11.text,"Sulla targa della porta puoi leggere: <i>\nUfficio </i>."
TokenPuertaDESPACHO11.button1,{action} Apri
TokenPuertaBIBLIOTECA11.text,"Mentre ti avvicini, puoi vedere che la porta ha alcuni strani simboli incisi su di essa.\n\nL'Investigatore che possiede il <b> Simbolo del Culto </b> può interagire con la porta per risolvere il puzzle."
TokenPuertaBIBLIOTECA11.button1,{action} Risolvi il puzzle
TokenPuertaBIBLIOTECA12.text,Una corrente d'aria calda trasporta il debole odore del mare attraverso la porta semiaperta.
TokenPuertaBIBLIOTECA12.button1,{action} Apri
TokenMesaDespacho.text,Il tavolo è pulito e ordinato. Un cassetto semiaperto cattura la tua attenzione.
TokenMesaDespacho.button1,{action} Cerca
TokenPuertaLlavesOLDtrue.text,"Una porta in legno bianco conduce in giardino. Il lucchetto di ferro che sigilla la porta è consumato dall'uso. \n\nSolo l'investigatore che possiede l'oggetto unico <b>Vecchie Chiavi </b> può aprire questa porta."
TokenPuertaLlavesOLDtrue.button1,{action} Apri
TokenPuertaLavabo11.text,Sulla porta c'è una placca di metallo, incisa vi è l'immagine di un bambino piccolo che urina in un vaso da notte.
TokenPuertaLavabo11.button1,{action} Apri
TokenBahoLavabo.text,Qualcuno ha scritto qualcosa sullo specchio in una vecchia lingua, pensi di poterlo decifrare.
TokenBahoLavabo.button1,{action} Decifra
TokenBahoLavabo.button2,{action} Cancella la scritta
TokenFantasmaNaranja1.text,Un bambino è rannicchiato sul pavimento del bagno e piange inconsolabilmente.
TokenFantasmaNaranja1.button1,Ignoralo
TokenFantasmaNaranja1.button2,|||{action} "Ciao Piccolo"|||
TokenFantasmaNaranja1.button3,{action} Prega
TokenParetSecreta2.text,Dietro l'armadio c'è un passaggio che entra nel muro, tuttavia è troppo buio per vedere dove conduce.
TokenParetSecreta2.button1,{action} Entra
TokenPuertaCampanario.text,La porta di legno è marcia per via dell'umidità.
TokenPuertaCampanario.button1,{action} Forza
TokenVistazoFinal.text,Un Investigatore in questo spazio può dare un' <b>occhiata. </b>
TokenVistazoFinal.button1,Dai un'occhiata
TokenzzINFO.text,Tra le carte se ne notano diverse con annotazioni scritte a mano in lingue e simboli che non si possono comprendere. Durante lo smistamento, la tua attenzione viene attratta da diversi frammenti di pergamena gialla che qualcuno ha avuto grande cura di distruggere. Con un po 'di pazienza, potresti essere in grado di ricostruire la pergamena.
TokenzzINFO.button1,{action} Risolvi
TokenSalidaFINAL3.text,La donna è fuggita nella foresta.
TokenSalidaFINAL3.button1,{action} Fuggi
TokenSalidaFINAL1.text,La donna è entrata nella foresta.
TokenSalidaFINAL1.button1,{action} Segui
TokenSrFord.text,L'uomo ben vestito ha un viso che ti sembra familiare, in una mano tiene un bicchiere di whisky, con dentro due cubetti di ghiaccio.
TokenSrFord.button1,{action} Ci conosciamo?
TokenMujerBast02.text,Una creatura con il corpo di una donna giovane e snella, ma la testa di un gatto sta davanti a te.
TokenMujerBast02.button2,{action} Sono l'unico sopravvissuto
TokenMujerBast02.button1,{action} Siamo tutti vivi
TokenBastCaja.text,"L'espressione del gatto è fredda e in qualche modo puoi rilevare l'impazienza sulla superficie dei suoi occhi. <i>\n\n- Dammi ciò che è mio. - </i>"
TokenBastCaja.button1,{action} Dai il Vecchio Diario
TokenBastCaja.button2,{action} Dai Protezione degli Antichi
TokenBastCaja.button3,{action} Dai il Pugnale Rituale
TokenBastDaga.text,"<i> -L'ho promesso. Siamo tutti qui? - </i>\nChiede la donna."
TokenBastDaga.button1,{action} Siamo tutti
EventPrefinal3A.text,"<i> - Sai, se mi menti rinchiuderai gli altri uccelli per tutta l'eternità ... - </i>\n\nPrima di finire la frase, senti una risata dietro di te. La donna scompare nella foresta con un balzo. Dietro di te appare un uomo con un viso che ti è familiare. È ben vestito e ha in mano un bicchiere di whisky contenente due cubetti di ghiaccio.\n\nRimuovi il segnalino gatto e posizionare un gettone persona come indicato."
EventPrefinal3A.button1,Continua
TokenBastDaga.button3,{action} Manca ancora qualcuno
TokenBastDaga.button2,"{action} Sono rimasto solo io\nOnly i've survived\nI've only survived"
TokenBastObj2.text,"L'espressione del gatto è fredda e in qualche modo puoi rilevare l'impazienza sulla superficie dei suoi occhi. <i>\n\n- Dammi ciò che è mio. - </i>"
TokenBastObj2.button1,{action} Dai il Vecchio Diario
TokenBastObj2.button2,{action} Dai il Pugnale Rituale
TokenBastObj2.button3,{action} Dai la Scatola del Rompicapo
TokenBastObj1.text,"L'espressione del gatto è fredda e in qualche modo puoi rilevare l'impazienza sulla superficie dei suoi occhi. <i>\n\n- Dammi ciò che è mio. - </i>"
TokenBastObj1.button1,{action} Dai Protezione degli Antichi
TokenBastObj1.button2,{action} Dai Pugnale Rituale
TokenBastObj1.button3,{action} Dai la Scatola del Rompicapo
TokenMarcadorFake5.text,Un bel giovane è assorbito dal suo lavoro mentre si prende cura dei papaveri.
TokenMarcadorFake5.button1,{action} Saluta
TokenMarcadorFake4.text,Parte del pavimento di fango sembra essere stato pulito di recente.
TokenMarcadorFake4.button1,{action} Scava
TokenMarcadorFake3.text,Uno scaffale pieno di tomi. Una raccolta di libri attira la tua attenzione e noti una nota scarabocchiato che indica che sono datati intorno al 2000 A.C.
TokenMarcadorFake3.button1,{action} Cerca
TokenMarcadorFake1.text,Una raccolta di ritratti di bambini piccoli.
TokenMarcadorFake1.button1,{action} Esamina
TokenYogDog.text,Un bellissimo cane nero che sembra uno sciacallo.
TokenYogDog.button1,{action} Lascia che si avvicini
TokenYogDog.button2,{action} Accarezzalo
TokenPuertaLlavesOLDFalse.text,Una porta di legno bianco che conduce al giardino. Il lucchetto di ferro che sigilla la porta è usurato dall'uso.
TokenPuertaLlavesOLDFalse.button1,Continua
TokenPuertaCocina10.text,La porta in legno è dipinta di bianco. Sotto il manico si nota un foro per la chiave in ottone.
TokenPuertaCocina10.button1,Continua
TokenPuertaCocinaPasillo.text,La porta di legno è annerita dal fumo proveniente dalla cucina.
TokenPuertaCocinaPasillo.button1,{action} Apri
TokenBastEntrega01.text,"Gli occhi luminosi e attenti del gatto bianco, seguono ogni tuo movimento senza battere ciglio. È un animale dall'aspetto bellissimo, di dimensioni leggermente più grandi del solito. Si siede elegantemente sulle zampe posteriori e ti chiede: <i>\n\n-L'hai trovato? - </i>"
TokenBastEntrega01.button1,{action} Dai il Vecchio Diario
TokenBastEntrega01.button2,{action} Dai Protezione degli Antichi
TokenBastEntrega01.button3,{action} Dai Pugnale Rituale
TokenBastEntrega01.button4,{action} Dai Scatola del Rompicapo
TokenBastEntrega01.button5,Indietro
TokenBusquedaSotano2.text,Un mucchio di vecchie cianfrusaglie annerite dal letame è accatastato davanti alle scale.
TokenBusquedaSotano2.button1,{action} Cerca
TokenBusquedaSotano1.text,C'è qualcosa di luminoso che spunta dal fango.
TokenBusquedaSotano1.button1,{action} Cerca
TokenPuertaAzulOFF.text,Una porta bianca è macchiata di fango e una debole luce blu filtra attraverso di essa.
TokenPuertaAzulOFF.button1,Continua
TokenPuertaAzulON.text,Una porta bianca macchiata di fango. Una debole luce blu filtra attraverso di essa.
TokenPuertaAzulON.button1,{action} Apri
TokenPuertaVerdeLuzON.text,Un sottilissimo raggio di luce verdastra si insinua sotto la porta. Non sembra avere una maniglia, ma la porta è socchiusa.
TokenPuertaVerdeLuzON.button1,{action} Apri
TokenPuertaSotanoLuz.text,La porta di legno ha macchie di vernice scrostata. Una debole luce gialla filtra dalle fessure.
TokenPuertaSotanoLuz.button1,{action} Apri
TokenPanelControlBiblioteca.text,Un piccolo pannello di controllo è nascosto dietro i libri. Ha 4 pulsanti e sembra sia stato usato di recente.
TokenPanelControlBiblioteca.button1,{action} Pulsante Verde
TokenPanelControlBiblioteca.button2,{action} Pulsante Giallo
TokenPanelControlBiblioteca.button3,{action} Pulsante Blu
TokenPanelControlBiblioteca.button4,{action} Spegni
TokenEstanteriaBiblio1.text,La libreria è piena di libri molto famosi di letteratura classica. Un libro con una copertina blu attira la tua attenzione perché ha meno polvere sulla sua superficie rispetto agli altri intorno ad esso.
TokenEstanteriaBiblio1.button1,{action} Prendi il libro
TokenLibroBiblioteca.text,Un libro poggia su una delle poltrone. E' aperto a pagina 3.
TokenLibroBiblioteca.button1,{action} Prendi il libro
TokenButacaPasillo.text,C'è una poltrona nell'angolo del corridoio ricoperta di piume colorate.
TokenButacaPasillo.button1,{action} Cerca
TokenTrampillaCampanario.text,Una botola si è aperta al suo interno, i tuoi occhi non possono vedere il fondo e non riesci a trovare alcun modo per scendere.
TokenTrampillaCampanario.button1,{action} Saltaci dentro
TokenPalancaCampana.text,La leva è in posizione neutra. Sembra che tu possa spostarla in avanti (+) o indietro (-).
TokenPalancaCampana.button1,{action} Sposta in avanti +
TokenPalancaCampana.button2,{action} Sposta indietro -
TokenCampana.text,La campana è in perfette condizioni, decorata con rilievi di creature dall'aspetto fantastico - metà animali e metà umani.
TokenCampana.button1,{action} Ispeziona
TokenCajasCamapanario.text,In un angolo, enormi casse di legno polverose sembrano essere rimaste intatte per oltre un secolo.
TokenCajasCamapanario.button1,{action} Cerca
UITxTinicial.uitext,"Guardi la foto della giovane Felicia - una ragazza bionda con grandi occhi marroni - prima di entrare. Dietro il bancone, un uomo basso punta il dito contro la tenda in fondo alla stanza. Ti muovi tra le vecchie gabbie di legno, solo i pochi raggi di luna guidano il tuo cammino e le ombre si allungano e si fanno più sinistre man mano che procedi nel negozio. La luce è appena sufficiente per distinguere gli animali che vivono nelle gabbie: strani uccelli colorati. Tiri da una parte la tenda rossa e scendi una rampa di scale che termina con una porta di legno rossa. Bussi quattro volte e la porta si apre, un uomo orientale si trova sulla porta bloccandovi l'ingresso. Ti scruta dall'alto al basso prima di fare un passo da parte e farti cenno di entrare. Una volta dentro, chiude la porta dietro di te, poi apre una seconda porta.\n\nCi vuole un momento perché i tuoi occhi si abituino alla luce, diversi musicisti stanno suonando un vivace Charleston in fondo, mentre una giovane coppia balla al centro del piccolo seminterrato. Alla tua sinistra un bar dall'aspetto squisito cattura la tua attenzione e schiocchi le labbra - ti senti un po' assetato.\n\nCrei un varco per arrivare fino all'affollato bar e proprio mentre ne trovi una il barista ti fa scivolare un bourbon, ci sono due cubetti di ghiaccio dentro, indicando un signore seduto all'angolo del bar:\n\n<i> - A nome del signor Ford. - </i>\n\nAlzi il bicchiere come gesto di gratitudine e ti dirigi verso di lui, scansando la folla. Prima sembravano comportarsi come se non esistessi, ma ora sembrano formare un corridoio mentre cammini, guidando verso la tua destinazione, anche se nessuno di loro ti guarda.\n\nSaluti il ​​signor Ford con un sorriso e lui risponde alzando il bicchiere e bevendo un sorso. Ti porti la bevanda alle labbra..."
UIBottonInicial.uitext,Inizio
UIBottonInicial.button1,Inizio
UITextFINAL1.uitext,"Entrando nella foresta l'immagine della donna svanisce davanti ai tuoi occhi, così come gli alberi, la terra e il cielo. Per qualche istante tutto è buio. A poco a poco diventi consapevole di ogni parte del tuo corpo. Muovi le dita delle mani e dei piedi assicurandoti che tutto sia ancora al suo posto.\n\nTi alzi in piedi, riconoscendo la morbida sensazione del tappeto sotto i piedi e la calda luce del sole sul viso. Apri gli occhi lentamente. Sei nella tua stanza, indossi il pigiama e tutto è tranquillo. Deve essere stato un sogno lungo e orribile.\n\nDurante la colazione apri il giornale e dalle sue pagine cadono diverse piume colorate. La tua attenzione è attirata da alcune strane notizie nella pagina aperta. Diverse persone che si pensava fossero scomparse sono state trovate addormentate e nessuno è in grado di svegliarle. Nel pugno chiuso di ciascuno ci sono diverse piume colorate. Riconosci il volto di Felicia Gordon nelle foto.\n\nHai completato con successo l'indagine."
UIButtonEND.uitext,Svegliati
UITXTFIN.uitext,"\n- Buona notte, Sognatore. -\n"
UITxtFINAL3.uitext,|||L'immagine del signor Ford svanisce davanti ai tuoi occhi, come la foresta, la casa, la terra e il cielo. Per qualche istante tutto è buio. A poco a poco diventi consapevole di ogni parte del tuo corpo. Muovi le dita delle mani e dei piedi per assicurarti che tutto sia ancora a posto.\n\nTi alzi in piedi, riconoscendo la morbida sensazione del tappeto sotto i piedi e la calda luce del sole sul tuo viso. Apri gli occhi lentamente. Sei nella tua stanza, indossi il pigiama e tutto tace. Devi aver avuto un incubo lungo e orribile.\n\nApri il giornale durante la colazione e dalle sue pagine cadono diverse piume colorate. Nella pagina aperta, la tua attenzione è attirata da alcune strane notizie. Hanno trovato diverse persone che si pensava fossero scomparse ... Tuttavia nessuno è in grado di svegliarle. Strette nelle mani di ciascuno di loro ci sono diverse piume colorate. Riconosci il volto di Felicia Gordon e dei tuoi compagni investigatori nelle foto.\n\nSolo gli investigatori che sono riusciti a "svegliarsi" hanno portato a termine le indagini.|||
UITxtFINAL2.uitext,"Segui la donna ed entri nella foresta. All'improvviso gli alberi iniziano a sbiadire, poi anche il suolo e il cielo. Per qualche istante tutto è buio. A poco a poco diventi consapevole di ogni parte del tuo corpo. Muovi le dita delle mani e dei piedi, assicurandoti che tutto sia ancora a posto.\n\nSembra che tu sia in una piccola stanza poco illuminata. La luce sul comodino illumina un bellissimo vaso in porcellana pieno di papaveri rossi. Proietta luce quanto basta per farti vedere che le pareti sono piene di ritratti, i cui occhi sembrano seguire ogni tuo movimento.\n\n  Posiziona la tessera {c:TileEntry} e un Muro come indicato. Ogni investigatore inizia con 1 {clue}.\n\nL'indagine non è completa."
UIButtonFIN2.uitext,Svegliati
UITextoGameOver.uitext,"Le pareti svaniscono davanti ai tuoi occhi, così come il pavimento e il soffitto. Per pochi istanti, tutto ciò che puoi vedere è l'oscurità. Apri gli occhi e la figura di un uomo in abito è davanti a te, il suo viso è avvolto dall'oscurità.\n\n<i> -Buona notte, Uccellino. Ti va un whisky? Anche se ancora non te lo sei guadagnato- </i>\n\nFacendo un passo per rivelare la sua faccia, il signor Ford ti sorride. In mano ha un bicchiere pieno di whisky, con due cubetti di ghiaccio. Se lo porta alle labbra e beve un sorso.\n\n<i> -Adoro avere ospiti! E quando sono con te, non mi annoio mai! - </i>.\n\nAvanza rapidamente verso di te, guardandoti mentre si avvicina.\n\n<i> - Vediamo se te la cavi un po 'meglio ... La prossima volta. - </i>\n\nL'indagine non è completa."
UIDejarPrueba.uitext,Smetti di Esaminare
UITextoPruebaVez01.uitext,"Quando guardi attentamente l'immagine, noti che gli occhi della donna sono stati pugnalati con un oggetto appuntito.\nGli occhi dei felini sembrano seguirti mentre ti muovi, il suo sguardo sembra penetrare nella tua stessa anima.\nAll'improvviso hai iniziato, ha ... la donna ha per caso miagolato? Giureresti che pochi istanti fa l'immagine aveva la bocca chiusa.\n\nSubisci 1 Orrore ({will} -2 nega), poi ottieni 1{clue}"
UITextoPreuebaVez02.uitext,"Quando guardi attentamente l'immagine, noti che gli occhi della donna sono stati pugnalati con un oggetto appuntito.\nGli occhi dei felini sembrano seguirti mentre ti muovi. Il suo sguardo sembra penetrare nella tua stessa anima."
PuzzleCajonMesaPasillo.button1,Continua
PuzzlePuertaBIBLIO.button1,Continua
PuzzlezzINFO.button1,Risolvi
PuzzleTheBox.button1,Risolvi
SpawnHorrendoCazador.text,"\nUn mostro Orrido Persecutore appare nella posizione designata."
SpawnHorrendoCazador.button1,Continua
